"Date","Mkt_RF","SMB","HML","RMW","CMA","RF","Mkt_RF_3mo","Mkt_RF_12mo","Mkt_RF_36mo","SMB_3mo","SMB_12mo","SMB_36mo","HML_3mo","HML_12mo","HML_36mo","RMW_3mo","RMW_12mo","RMW_36mo","CMA_3mo","CMA_12mo","CMA_36mo"
1965-10-01,2.6,3.45,1.55,1.19,-0.76,0.31,2.73,0.76,NA,2.30666666666667,0.995,NA,0.143333333333334,-0.0591666666666664,NA,0.79,0.303333333333333,NA,-0.28,-0.3225,NA
1965-11-01,-0.02,5.22,0.16,-1.08,-0.87,0.35,1.81333333333333,0.759166666666667,NA,3.12333333333333,1.45,NA,0.523333333333334,0.124166666666667,NA,-0.246666666666667,0.154166666666667,NA,-0.3,-0.381666666666667,NA
1965-12-01,1.01,2.62,2.15,-1.3,-0.55,0.33,1.19666666666667,0.84,NA,3.76333333333333,1.7225,NA,1.28666666666667,0.505833333333334,NA,-0.396666666666667,-0.0333333333333334,NA,-0.726666666666667,-0.298333333333333,NA
1966-01-01,0.72,4.85,3.27,-2.65,-0.26,0.38,0.57,0.605,NA,4.23,1.91833333333333,NA,1.86,0.748333333333334,NA,-1.67666666666667,-0.3325,NA,-0.56,-0.318333333333333,NA
1966-02-01,-1.21,4.79,0.38,-0.16,-1.45,0.35,0.173333333333333,0.4675,NA,4.08666666666667,2.0475,NA,1.93333333333333,0.761666666666667,NA,-1.37,-0.3675,NA,-0.753333333333333,-0.3875,NA
1966-03-01,-2.51,0.21,-2.13,1.29,-0.05,0.38,-1,0.37,NA,3.28333333333333,1.89166666666667,NA,0.506666666666667,0.488333333333334,NA,-0.506666666666667,-0.235833333333333,NA,-0.586666666666667,-0.445833333333333,NA
1966-04-01,2.13,3.33,-0.36,0.42,-0.92,0.34,-0.53,0.288333333333333,NA,2.77666666666667,2.07416666666667,NA,-0.703333333333333,0.3975,NA,0.516666666666666,-0.225,NA,-0.806666666666667,-0.333333333333333,NA
1966-05-01,-5.67,-5.11,-1.6,1.64,-1.48,0.41,-2.01666666666667,-0.119166666666667,NA,-0.523333333333334,1.64416666666667,NA,-1.36333333333333,0.393333333333334,NA,1.11666666666667,-0.0533333333333334,NA,-0.816666666666667,-0.505833333333333,NA
1966-06-01,-1.44,1.32,0.49,0.08,0.79,0.38,-1.66,0.22,0.565833333333333,-0.153333333333334,2.10416666666667,0.683333333333333,-0.489999999999999,0.415,0.482222222222222,0.713333333333333,-0.0666666666666667,0.0197222222222222,-0.536666666666667,-0.475833333333333,-0.0738888888888889
1966-07-01,-1.63,-0.38,0.91,-0.38,1.74,0.35,-2.91333333333333,-0.0358333333333332,0.531388888888889,-1.39,1.98083333333333,0.686111111111111,-0.066666666666666,0.308333333333334,0.53,0.446666666666666,0.0191666666666666,-0.00861111111111113,0.35,-0.324166666666667,0.0063888888888889
1966-08-01,-7.94,-3.15,0.5,-0.64,0.77,0.41,-3.67,-0.925,0.169722222222222,-0.736666666666667,1.4875,0.620833333333333,0.633333333333334,0.431666666666667,0.496666666666667,-0.313333333333334,-0.203333333333333,-0.0375,1.1,-0.1925,0.0383333333333333
1966-09-01,-1.06,-1.02,0.48,-1.19,2.35,0.4,-3.54333333333333,-1.25166666666667,0.183888888888889,-1.51666666666667,1.34416666666667,0.604444444444444,0.630000000000001,0.483333333333334,0.51,-0.736666666666667,-0.231666666666667,-0.0488888888888889,1.62,-0.0575000000000001,0.0994444444444445
1966-10-01,3.86,-6.48,2.74,-3.91,4.23,0.45,-1.71333333333333,-1.14666666666667,0.220555555555556,-3.55,0.516666666666667,0.461666666666667,1.24,0.5825,0.587222222222222,-1.91333333333333,-0.656666666666667,-0.235,2.45,0.358333333333333,0.279444444444444
1966-11-01,1.38,3.34,-4.63,4.66,-6.51,0.4,1.39333333333333,-1.03,0.282777777777778,-1.38666666666667,0.36,0.578055555555556,-0.469999999999999,0.183333333333334,0.410555555555556,-0.146666666666667,-0.178333333333333,-0.0936111111111111,0.0233333333333334,-0.111666666666667,0.0355555555555556
1966-12-01,0.13,1.88,-0.95,0.17,-0.16,0.4,1.79,-1.10333333333333,0.235555555555556,-0.420000000000001,0.298333333333334,0.682777777777778,-0.946666666666666,-0.0749999999999995,0.39,0.306666666666666,-0.0558333333333334,-0.0922222222222223,-0.813333333333333,-0.0791666666666667,0.0380555555555556
1967-01-01,8.15,8.98,2.36,1.29,-3.06,0.43,3.22,-0.484166666666666,0.398888888888889,4.73333333333333,0.6425,0.929444444444445,-1.07333333333333,-0.150833333333333,0.410277777777778,2.04,0.2725,-0.0622222222222223,-3.24333333333333,-0.3125,-0.0880555555555555
1967-02-01,0.77,3.01,-2.26,1.66,-0.93,0.36,3.01666666666667,-0.319166666666666,0.377222222222222,4.62333333333333,0.494166666666667,1.00388888888889,-0.283333333333332,-0.370833333333333,0.269444444444445,1.04,0.424166666666667,-0.0191666666666667,-1.38333333333333,-0.269166666666667,-0.136388888888889
1967-03-01,4,1.77,0.47,0.82,-1.5,0.39,4.30666666666667,0.223333333333333,0.449166666666667,4.58666666666667,0.624166666666667,1.01388888888889,0.190000000000001,-0.154166666666666,0.191111111111111,1.25666666666667,0.385,0.06,-1.83,-0.39,-0.260833333333333
1967-04-01,3.89,0.43,-2.29,3.09,-3.72,0.32,2.88666666666667,0.37,0.554166666666667,1.73666666666667,0.3825,1.06694444444444,-1.36,-0.315,0.1425,1.85666666666667,0.6075,0.1825,-2.05,-0.623333333333333,-0.332777777777778
1967-05-01,-4.32,2.45,0.8,-1.19,1.62,0.33,1.19,0.4825,0.395,1.55,1.0125,1.15222222222222,-0.34,-0.115,0.114444444444445,0.906666666666666,0.371666666666667,0.153611111111111,-1.2,-0.365,-0.291388888888889
1967-06-01,2.42,6.42,0.8,-0.84,-2.49,0.27,0.663333333333333,0.804166666666667,0.426944444444445,3.1,1.4375,1.32694444444444,-0.23,-0.0891666666666662,0.117777777777778,0.353333333333332,0.295,0.139444444444444,-1.53,-0.638333333333333,-0.363333333333333
1967-07-01,4.58,3.58,2.75,0.45,2.66,0.32,0.893333333333333,1.32166666666667,0.505833333333334,4.15,1.7675,1.4125,1.45,0.0641666666666671,0.172222222222222,-0.526666666666668,0.364166666666667,0.147777777777778,0.596666666666667,-0.561666666666667,-0.340833333333333
1967-08-01,-0.9,0.77,1.43,0.3,1.35,0.31,2.03333333333333,1.90833333333333,0.520833333333333,3.59,2.09416666666667,1.42583333333333,1.66,0.141666666666667,0.21,-0.0300000000000008,0.4425,0.151944444444444,0.506666666666667,-0.513333333333333,-0.311944444444444
1967-09-01,3.11,2.43,-2.47,0.22,-0.93,0.32,2.26333333333333,2.25583333333333,0.5325,2.26,2.38166666666667,1.50277777777778,0.57,-0.104166666666666,0.0936111111111112,0.323333333333333,0.56,0.171944444444444,1.02666666666667,-0.786666666666667,-0.353333333333333
1967-10-01,-3.08,0.57,-3.29,0.97,-2.74,0.39,-0.29,1.6775,0.430277777777778,1.25666666666667,2.96916666666667,1.49361111111111,-1.44333333333333,-0.606666666666666,-0.0277777777777777,0.496666666666666,0.966666666666667,0.204444444444444,-0.773333333333333,-1.3675,-0.443888888888889
1967-11-01,0.37,-0.06,-1.71,1.31,-2.28,0.36,0.133333333333333,1.59333333333333,0.440833333333334,0.98,2.68583333333333,1.49861111111111,-2.49,-0.363333333333333,-0.018611111111111,0.833333333333332,0.6875,0.221111111111111,-1.98333333333333,-1.015,-0.502777777777778
1967-12-01,3.05,5.59,-0.54,-0.74,-0.03,0.33,0.113333333333333,1.83666666666667,0.524444444444445,2.03333333333333,2.995,1.67194444444444,-1.84666666666667,-0.329166666666666,0.033888888888889,0.513333333333332,0.611666666666667,0.174166666666667,-1.68333333333333,-1.00416666666667,-0.460555555555556
1968-01-01,-4.03,4.68,4.85,-4.89,6.46,0.4,-0.203333333333334,0.821666666666667,0.314166666666667,3.40333333333333,2.63666666666667,1.7325,0.866666666666667,-0.121666666666666,0.158611111111111,-1.44,0.0966666666666668,0.0122222222222222,1.38333333333333,-0.210833333333334,-0.280555555555556
1968-02-01,-3.74,-2.92,1.23,-0.08,2.46,0.39,-1.57333333333333,0.445833333333334,0.198055555555556,2.45,2.1425,1.56138888888889,1.84666666666667,0.169166666666667,0.186666666666667,-1.90333333333333,-0.0483333333333332,0.00277777777777776,2.96333333333333,0.0716666666666664,-0.195
1968-03-01,0.21,-1.55,-0.63,1.07,-1.15,0.38,-2.52,0.130000000000001,0.241111111111111,0.0700000000000006,1.86583333333333,1.46055555555556,1.81666666666667,0.0775000000000004,0.137222222222222,-1.3,-0.0274999999999998,0.0405555555555555,2.59,0.100833333333333,-0.245
1968-04-01,9.01,6.17,-1.1,2.79,-3.73,0.43,1.82666666666667,0.556666666666667,0.405,0.566666666666667,2.34416666666667,1.60027777777778,-0.166666666666666,0.176666666666667,0.086388888888889,1.26,-0.0524999999999998,0.11,-0.806666666666666,0.0999999999999998,-0.285555555555556
1968-05-01,2.28,6.97,0.82,0.49,-1.92,0.45,3.83333333333333,1.10666666666667,0.49,3.86333333333333,2.72083333333333,1.7925,-0.303333333333333,0.178333333333334,0.152222222222222,1.45,0.0875000000000002,0.135277777777778,-2.26666666666667,-0.195,-0.355277777777778
1968-06-01,0.7,-0.33,0.66,-1.56,2.8,0.43,3.99666666666667,0.963333333333334,0.6625,4.27,2.15833333333333,1.9,0.126666666666667,0.166666666666667,0.164166666666667,0.573333333333332,0.0275000000000002,0.0852777777777778,-0.95,0.245833333333333,-0.289444444444445
1968-07-01,-2.69,-1.39,5.31,-3.18,3.79,0.48,0.0966666666666658,0.3575,0.547777777777778,1.75,1.74416666666667,1.83083333333333,2.26333333333333,0.38,0.250833333333333,-1.41666666666667,-0.275,0.0361111111111111,1.55666666666667,0.34,-0.181944444444444
1968-08-01,1.35,2.33,0.99,-0.66,0.47,0.42,-0.213333333333334,0.545,0.509444444444445,0.203333333333335,1.87416666666667,1.81861111111111,2.32,0.343333333333334,0.305555555555556,-1.8,-0.355,-0.0386111111111111,2.35333333333333,0.266666666666666,-0.146388888888889
1968-09-01,4.05,2.81,0.3,-1.94,0.87,0.43,0.903333333333332,0.623333333333334,0.5425,1.25,1.90583333333333,1.87722222222222,2.2,0.574166666666667,0.317777777777778,-1.92666666666667,-0.535,-0.0688888888888889,1.71,0.416666666666666,-0.1425
1968-10-01,0.44,-0.43,2.82,-1.36,2.84,0.44,1.94666666666667,0.916666666666667,0.4825,1.57,1.8225,1.76944444444444,1.37,1.08333333333333,0.353055555555556,-1.32,-0.729166666666667,-0.139722222222222,1.39333333333333,0.881666666666666,-0.0425000000000001
