School,SalaryType,Rank,Salary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,Real,Full,"142,149.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,Real,Associate,"108,150.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,Real,Assistant,"88,382.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,COLA-Adjusted,Full,"176,975.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,COLA-Adjusted,Associate,"134,646.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,COLA-Adjusted,Assistant,"110,036.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverford,Real,Full,"131,175.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverford,Real,Associate,"101,031.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverford,Real,Assistant,"84,959.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverford,COLA-Adjusted,Full,"38,827.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverford,COLA-Adjusted,Associate,"29,905.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverford,COLA-Adjusted,Assistant,"25,147.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macalester,Real,Full,"126,583.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macalester,Real,Associate,"95,132.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macalester,Real,Assistant,"79,774.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macalester,COLA-Adjusted,Full,"128,355.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macalester,COLA-Adjusted,Associate,"96,464.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macalester,COLA-Adjusted,Assistant,"80,891.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middlebury,Real,Full,"140,387.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middlebury,Real,Associate,"104,368.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middlebury,Real,Assistant,"90,234.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middlebury,COLA-Adjusted,Full,"144,318.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middlebury,COLA-Adjusted,Associate,"107,290.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middlebury,COLA-Adjusted,Assistant,"92,760.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oberlin,Real,Full,"122,742.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oberlin,Real,Associate,"94,994.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oberlin,Real,Assistant,"72,109.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oberlin,COLA-Adjusted,Full,"150,850.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oberlin,COLA-Adjusted,Associate,"116,747.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oberlin,COLA-Adjusted,Assistant,"88,622.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomona,Real,Full,"160,490.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomona,Real,Associate,"120,016.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomona,Real,Assistant,"98,629.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomona,COLA-Adjusted,Full,"55,048.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomona,COLA-Adjusted,Associate,"41,165.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomona,COLA-Adjusted,Assistant,"33,829.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swarthmore,Real,Full,"156,328.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swarthmore,Real,Associate,"111,489.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swarthmore,Real,Assistant,"87,689.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swarthmore,COLA-Adjusted,Full,"136,943.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swarthmore,COLA-Adjusted,Associate,"97,664.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swarthmore,COLA-Adjusted,Assistant,"76,816.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vassar,Real,Full,"142,788.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vassar,Real,Associate,"111,493.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vassar,Real,Assistant,"89,257.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vassar,COLA-Adjusted,Full,"139,218.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vassar,COLA-Adjusted,Associate,"108,706.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vassar,COLA-Adjusted,Assistant,"87,026.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington and Lee,Real,Full,"143,853.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington and Lee,Real,Associate,"115,712.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington and Lee,Real,Assistant,"95,154.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington and Lee,COLA-Adjusted,Full,"164,424.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington and Lee,COLA-Adjusted,Associate,"132,259.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington and Lee,COLA-Adjusted,Assistant,"108,761.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesleyan,Real,Full,"158,454.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesleyan,Real,Associate,"111,007.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesleyan,Real,Assistant,"91,207.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesleyan,COLA-Adjusted,Full,"154,335.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesleyan,COLA-Adjusted,Associate,"108,121.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesleyan,COLA-Adjusted,Assistant,"88,835.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams,Real,Full,"149,902.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams,Real,Associate,"106,039.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams,Real,Assistant,"93,837.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams,COLA-Adjusted,Full,"148,553.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams,COLA-Adjusted,Associate,"105,085.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams,COLA-Adjusted,Assistant,"92,992.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Rank,Salary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Full,"118,499.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Associate,"84,106.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Assistant,"68,567.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Full,"120,336.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Associate,"86,407.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Assistant,"68,847.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
