School,SalaryType,Rank,Salary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Full,"133,124.42","38,886.00",1.1505830470,"44,741.57",,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Associate,"99,181.72","38,886.00",1.1505830470,"44,741.57",,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Assistant,"77,205.26","38,886.00",1.1505830470,"44,741.57",,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Full,"135,365.06","40,809.00",1.1272550676,"46,002.15",,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Associate,"100,768.22","40,809.00",1.1272550676,"46,002.15",,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Assistant,"78,223.35","40,809.00",1.1272550676,"46,002.15",,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Full,"138,430.60","42,849.00",1.1109818543,"47,604.46",,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Associate,"102,212.00","42,849.00",1.1109818543,"47,604.46",,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Assistant,"81,658.50","42,849.00",1.1109818543,"47,604.46",,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Full,"140,476.20","45,377.00",1.0932473309,"49,608.28",,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Associate,"103,744.68","45,377.00",1.0932473309,"49,608.28",,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Assistant,"80,131.56","45,377.00",1.0932473309,"49,608.28",,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Full,"140,171.30","46,966.00",1.0919512107,"51,284.58",,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Associate,"106,356.43","46,966.00",1.0919512107,"51,284.58",,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Assistant,"82,091.10","46,966.00",1.0919512107,"51,284.58",,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Full,"139,827.47","48,376.00",1.0783477141,"52,166.15",,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Associate,"108,464.04","48,376.00",1.0783477141,"52,166.15",,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Assistant,"78,909.99","48,376.00",1.0783477141,"52,166.15",,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Full,"137,673.52","49,949.00",1.0558542749,"52,738.87",,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Associate,"104,273.29","49,949.00",1.0558542749,"52,738.87",,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Assistant,"79,024.61","49,949.00",1.0558542749,"52,738.87",,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Full,"137,488.17","51,447.00",1.0306801484,"53,025.40",,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Associate,"101,035.40","51,447.00",1.0306801484,"53,025.40",,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Assistant,"75,825.51","51,447.00",1.0306801484,"53,025.40",,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Full,"137,672.80","52,524.00",1.0123368422,"53,171.98",,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Associate,"102,242.30","52,524.00",1.0123368422,"53,171.98",,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Assistant,"84,020.90","52,524.00",1.0123368422,"53,171.98",,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Full,"134,729.29","55,000.00",1.0000000000,"55,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Associate,"98,242.92","55,000.00",1.0000000000,"55,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Assistant,"79,876.90","55,000.00",1.0000000000,"55,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Inf/Adj Endowment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,"435,541,794",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"502,842,801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,"467,829,553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,"419,173,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,"400,619,058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"454,671,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"506,063,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,"541,785,214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,"610,433,448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"613,288,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,"456,240,342",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,"512,021,847",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"590,935,426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"574,979,766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"627,431,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,"710,347,888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,"745,426,067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,"713,902,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,"771,194,621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,"846,990,293",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,"892,340,575",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,"905,857,948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Endowment,Enrollment,Per Student,Faculty,Per Faculty Member,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,"435,541,794",1652,"263,645",152,"2,865,406.54",,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"502,842,801",1679,"299,489",153,"3,286,554.25",,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,"467,829,553",1673,"279,635",153,"3,057,709.50",,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,"419,173,625",1644,"254,972",154,"2,721,906.66",,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,"400,619,058",1712,"234,006",158,"2,535,563.66",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"454,671,081",1714,"265,269",158,"2,877,665.07",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"506,063,388",1683,"300,691",159,"3,182,788.60",,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,"541,785,214",1667,"325,006",162,"3,344,353.17",,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,"610,433,448",1664,"366,847",164,"3,722,155.17",,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"613,288,483",1668,"367,679",166,"3,694,508.93",,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,"456,240,342",1743,"261,756",163,"2,799,020.50",,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,"512,021,847",1742,"293,928",167,"3,065,999.08",,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"590,935,426",1756,"336,524",162,"3,647,749.54",,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"574,979,766",1790,"321,218",170,"3,382,233.92",,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"627,431,272",1788,"350,912",174,"3,605,926.85",,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,"710,347,888",1770,"401,326",179,"3,968,423.96",,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,"745,426,067",1784,"417,840",176,"4,235,375.38",,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,"713,902,276",1796,"397,496",185,"3,858,931.22",,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,"771,194,621",1810,"426,074",188,"4,102,099.05",,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,"846,990,293",1843,"459,572",196,"4,321,379.05",,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,"892,340,575",1837,"485,760",203,"4,395,766.38",,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,"905,857,948",1983,"456,812",202,"4,484,445.29",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instruction,"40,417,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,"1,621,303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public service,"2,018,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic support,"12,799,763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student services,"32,246,998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institutional support,"23,062,270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auxiliary enterprises,"22,063,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other expenses,"3,515,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
